seed,width,depth,bits,acc_float,acc_quant,acc_oracle,acc_learned
999,32,6,8,0.9599999785423279,0.9574999809265137,0.9599999785423279,0.9700000286102295
999,32,6,4,0.9599999785423279,0.5550000071525574,0.9599999785423279,0.6850000023841858
999,32,8,8,0.9649999737739563,0.9375,0.9574999809265137,0.9599999785423279
999,32,8,4,0.9649999737739563,0.5199999809265137,0.8774999976158142,0.7049999833106995
999,32,10,8,0.9700000286102295,0.9574999809265137,0.9700000286102295,0.9725000262260437
999,32,10,4,0.9700000286102295,0.5575000047683716,0.9725000262260437,0.675000011920929
999,64,2,8,0.9674999713897705,0.9624999761581421,0.9624999761581421,0.9649999737739563
999,64,2,4,0.9674999713897705,0.5099999904632568,0.5099999904632568,0.7200000286102295
999,64,4,8,0.9750000238418579,0.9700000286102295,0.9750000238418579,0.9700000286102295
999,64,4,4,0.9750000238418579,0.6424999833106995,0.9649999737739563,0.8399999737739563
999,64,6,8,0.48750001192092896,0.49000000953674316,0.48750001192092896,0.9725000262260437
999,64,6,4,0.48750001192092896,0.550000011920929,0.48750001192092896,0.7774999737739563
999,64,8,8,0.9624999761581421,0.9624999761581421,0.9674999713897705,0.9624999761581421
999,64,8,4,0.9624999761581421,0.5024999976158142,0.8999999761581421,0.6825000047683716
999,64,10,8,0.9200000166893005,0.8949999809265137,0.9225000143051147,0.9549999833106995
999,64,10,4,0.9200000166893005,0.48750001192092896,0.887499988079071,0.7350000143051147
999,128,2,8,0.9700000286102295,0.9649999737739563,0.9649999737739563,0.9674999713897705
999,128,2,4,0.9700000286102295,0.6100000143051147,0.6100000143051147,0.8500000238418579
999,128,4,8,0.9549999833106995,0.9574999809265137,0.9574999809265137,0.9725000262260437
999,128,4,4,0.9549999833106995,0.6549999713897705,0.9599999785423279,0.925000011920929
999,128,6,8,0.9750000238418579,0.9649999737739563,0.9750000238418579,0.9700000286102295
999,128,6,4,0.9750000238418579,0.5799999833106995,0.9750000238418579,0.8550000190734863
999,128,8,8,0.9549999833106995,0.9524999856948853,0.9524999856948853,0.9574999809265137
999,128,8,4,0.9549999833106995,0.5224999785423279,0.8525000214576721,0.8824999928474426
999,128,10,8,0.9549999833106995,0.9474999904632568,0.9549999833106995,0.9649999737739563
999,128,10,4,0.9549999833106995,0.5450000166893005,0.949999988079071,0.9225000143051147
