seed,width,depth,rounding,final_train_acc,final_test_acc,best_test_acc,final_loss
42,16,8,ceil,0.7637500166893005,0.7124999761581421,0.7350000143051147,0.5569156408309937
42,16,10,baseline,0.9900000095367432,0.9524999856948853,0.9549999833106995,0.1654370129108429
42,16,10,nearest,0.7956249713897705,0.737500011920929,0.7549999952316284,0.5620368123054504
42,16,10,floor,0.8525000214576721,0.7900000214576721,0.7950000166893005,0.5149604082107544
42,16,10,ceil,0.7443749904632568,0.7024999856948853,0.6775000095367432,0.5746911764144897
42,32,2,baseline,0.7925000190734863,0.6899999976158142,0.6899999976158142,0.488173246383667
42,32,2,nearest,0.6993749737739563,0.5824999809265137,0.5799999833106995,0.6063229441642761
42,32,2,floor,0.7112500071525574,0.574999988079071,0.574999988079071,0.6096649765968323
42,32,2,ceil,0.7512500286102295,0.6600000262260437,0.6675000190734863,0.5828508138656616
42,32,4,baseline,0.9893749952316284,0.9674999713897705,0.9750000238418579,0.08493133634328842
42,32,4,nearest,0.9668750166893005,0.9424999952316284,0.9449999928474426,0.2004724144935608
42,32,4,floor,0.9631249904632568,0.9524999856948853,0.949999988079071,0.1920168697834015
42,32,4,ceil,0.9574999809265137,0.9275000095367432,0.9275000095367432,0.19616897404193878
42,32,6,baseline,0.9906250238418579,0.9700000286102295,0.9725000262260437,0.09110929816961288
42,32,6,nearest,0.9787499904632568,0.9574999809265137,0.9674999713897705,0.09880039095878601
42,32,6,floor,0.984375,0.9524999856948853,0.9700000286102295,0.11070537567138672
42,32,6,ceil,0.9787499904632568,0.9549999833106995,0.9649999737739563,0.10377448052167892
42,32,8,baseline,0.9931250214576721,0.9750000238418579,0.9775000214576721,0.11200962215662003
42,32,8,nearest,0.9662500023841858,0.9399999976158142,0.9599999785423279,0.1438950002193451
42,32,8,floor,0.9756249785423279,0.9474999904632568,0.9574999809265137,0.13610677421092987
42,32,8,ceil,0.8575000166893005,0.7925000190734863,0.8149999976158142,0.31147053837776184
42,32,10,baseline,0.9943749904632568,0.9574999809265137,0.9574999809265137,0.2618446350097656
42,32,10,nearest,0.9737499952316284,0.9624999761581421,0.9725000262260437,0.1264759749174118
42,32,10,floor,0.9781249761581421,0.9674999713897705,0.9674999713897705,0.13096950948238373
42,32,10,ceil,0.971875011920929,0.9624999761581421,0.9624999761581421,0.13051870465278625
42,64,2,baseline,0.9275000095367432,0.8399999737739563,0.8399999737739563,0.34768688678741455
42,64,2,nearest,0.7699999809265137,0.6600000262260437,0.6675000190734863,0.5301902294158936
42,64,2,floor,0.7425000071525574,0.6225000023841858,0.6299999952316284,0.5532863736152649
42,64,2,ceil,0.7912499904632568,0.6850000023841858,0.6825000047683716,0.5109183192253113
42,64,4,baseline,0.9918749928474426,0.9624999761581421,0.9750000238418579,0.09966901689767838
42,64,4,nearest,0.971875011920929,0.9424999952316284,0.949999988079071,0.12037542462348938
42,64,4,floor,0.9887499809265137,0.9599999785423279,0.9750000238418579,0.09053841233253479
42,64,4,ceil,0.9862499833106995,0.9624999761581421,0.9750000238418579,0.08024559915065765
42,64,6,baseline,0.9925000071525574,0.9599999785423279,0.9725000262260437,0.1424446552991867
42,64,6,nearest,0.9881250262260437,0.9725000262260437,0.9750000238418579,0.07908430695533752
42,64,6,floor,0.9881250262260437,0.9599999785423279,0.9750000238418579,0.08835352212190628
42,64,6,ceil,0.9887499809265137,0.9599999785423279,0.9725000262260437,0.12238040566444397
42,64,8,baseline,0.9937499761581421,0.9674999713897705,0.9850000143051147,0.15795964002609253
42,64,8,nearest,0.987500011920929,0.9599999785423279,0.9725000262260437,0.12237590551376343
42,64,8,floor,0.9868749976158142,0.9674999713897705,0.9700000286102295,0.0980687364935875
42,64,8,ceil,0.9868749976158142,0.9524999856948853,0.9700000286102295,0.14157219231128693
42,64,10,baseline,0.9937499761581421,0.9574999809265137,0.9624999761581421,0.24700169265270233
42,64,10,nearest,0.9862499833106995,0.9424999952316284,0.9725000262260437,0.1514323502779007
42,64,10,floor,0.9868749976158142,0.9599999785423279,0.9700000286102295,0.121058389544487
42,64,10,ceil,0.9862499833106995,0.9474999904632568,0.9624999761581421,0.1599796861410141
42,128,2,baseline,0.9881250262260437,0.9674999713897705,0.9674999713897705,0.15514680743217468
42,128,2,nearest,0.8743749856948853,0.7574999928474426,0.7549999952316284,0.42954447865486145
