seed,width,depth,rounding,bits,final_train_acc,final_test_acc,best_test_acc,final_loss
123,8,4,baseline,8,0.5731250047683716,0.5375000238418579,0.5475000143051147,0.6882367730140686
123,8,6,baseline,8,0.6556249856948853,0.612500011920929,0.612500011920929,0.6138906478881836
123,8,8,baseline,8,0.7506250143051147,0.6549999713897705,0.6549999713897705,0.6584804058074951
123,8,10,baseline,8,0.7300000190734863,0.6175000071525574,0.675000011920929,0.6187105178833008
123,16,2,baseline,8,0.6431249976158142,0.5375000238418579,0.5450000166893005,0.6559552550315857
123,16,4,baseline,8,0.8106250166893005,0.7200000286102295,0.7200000286102295,0.49239256978034973
123,16,6,baseline,8,0.9868749976158142,0.9574999809265137,0.9574999809265137,0.11709914356470108
123,16,8,baseline,8,0.8256250023841858,0.7850000262260437,0.7850000262260437,0.4154345989227295
123,16,10,baseline,8,0.890625,0.8500000238418579,0.8525000214576721,0.36742207407951355
123,32,2,baseline,8,0.8062499761581421,0.7049999833106995,0.7049999833106995,0.48049601912498474
123,32,4,baseline,8,0.9893749952316284,0.9674999713897705,0.9674999713897705,0.10425888001918793
123,32,6,baseline,8,0.9900000095367432,0.9775000214576721,0.9775000214576721,0.0935853123664856
123,32,8,baseline,8,0.9887499809265137,0.9624999761581421,0.9750000238418579,0.16002315282821655
123,32,10,baseline,8,0.984375,0.9325000047683716,0.9375,0.24922043085098267
123,64,2,baseline,8,0.9162499904632568,0.8174999952316284,0.8174999952316284,0.35408005118370056
123,64,4,baseline,8,0.9893749952316284,0.9775000214576721,0.9775000214576721,0.06941673159599304
123,64,6,baseline,8,0.9912499785423279,0.9674999713897705,0.9775000214576721,0.09604174643754959
123,64,8,baseline,8,0.9943749904632568,0.9549999833106995,0.9649999737739563,0.20703688263893127
123,64,10,baseline,8,0.9943749904632568,0.9524999856948853,0.9524999856948853,0.2757561206817627
123,128,2,baseline,8,0.9893749952316284,0.9649999737739563,0.9649999737739563,0.11358176916837692
123,128,4,baseline,8,0.9906250238418579,0.9725000262260437,0.9775000214576721,0.09900829941034317
123,128,6,baseline,8,0.9937499761581421,0.9674999713897705,0.9800000190734863,0.13840849697589874
123,128,8,baseline,8,0.9937499761581421,0.9649999737739563,0.9700000286102295,0.10019411891698837
123,128,10,baseline,8,0.9906250238418579,0.9750000238418579,0.9775000214576721,0.10349015891551971
999,4,2,baseline,8,0.5943750143051147,0.5450000166893005,0.5525000095367432,0.6947508454322815
999,4,4,baseline,8,0.5681250095367432,0.5249999761581421,0.5600000023841858,0.6920104026794434
999,4,6,baseline,8,0.5712500214576721,0.5325000286102295,0.5400000214576721,0.6941200494766235
999,4,8,baseline,8,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6934003233909607
999,4,10,baseline,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6928836107254028
999,8,2,baseline,8,0.6256250143051147,0.5575000047683716,0.5799999833106995,0.6840444803237915
999,8,4,baseline,8,0.6787499785423279,0.5924999713897705,0.6100000143051147,0.6424487829208374
999,8,6,baseline,8,0.6349999904632568,0.6225000023841858,0.6225000023841858,0.6112403273582458
999,8,8,baseline,8,0.7425000071525574,0.6899999976158142,0.6899999976158142,0.5448455214500427
999,8,10,baseline,8,0.7168750166893005,0.6625000238418579,0.6625000238418579,0.5877574682235718
999,16,2,baseline,8,0.659375011920929,0.5724999904632568,0.5799999833106995,0.6610731482505798
999,16,4,baseline,8,0.8068749904632568,0.6800000071525574,0.6800000071525574,0.49686264991760254
999,16,6,baseline,8,0.9862499833106995,0.949999988079071,0.949999988079071,0.15750575065612793
999,16,8,baseline,8,0.9906250238418579,0.9674999713897705,0.9674999713897705,0.13627588748931885
999,16,10,baseline,8,0.9606249928474426,0.9075000286102295,0.9075000286102295,0.34176796674728394
999,32,2,baseline,8,0.7493749856948853,0.6399999856948853,0.6399999856948853,0.5354182720184326
999,32,4,baseline,8,0.9906250238418579,0.9700000286102295,0.9700000286102295,0.06846124678850174
999,32,6,baseline,8,0.9937499761581421,0.9624999761581421,0.9750000238418579,0.10802231729030609
999,32,8,baseline,8,0.9931250214576721,0.9300000071525574,0.9325000047683716,0.26996347308158875
999,32,10,baseline,8,0.9881250262260437,0.9225000143051147,0.9474999904632568,0.26316800713539124
999,64,2,baseline,8,0.8806250095367432,0.7825000286102295,0.7825000286102295,0.41464710235595703
999,64,4,baseline,8,0.9912499785423279,0.9700000286102295,0.9750000238418579,0.08101555705070496
999,64,6,baseline,8,0.9925000071525574,0.9574999809265137,0.9725000262260437,0.162620410323143
999,64,8,baseline,8,0.9937499761581421,0.9599999785423279,0.9775000214576721,0.239512637257576
999,64,10,baseline,8,0.9950000047683716,0.9549999833106995,0.9649999737739563,0.33481213450431824
999,128,2,baseline,8,0.9906250238418579,0.9674999713897705,0.9674999713897705,0.11901576071977615
999,128,4,baseline,8,0.9906250238418579,0.9649999737739563,0.9750000238418579,0.09790283441543579
999,128,6,baseline,8,0.9931250214576721,0.9674999713897705,0.9725000262260437,0.13221481442451477
999,128,8,baseline,8,0.9943749904632568,0.9700000286102295,0.9750000238418579,0.161174014210701
999,128,10,baseline,8,0.9950000047683716,0.9574999809265137,0.9624999761581421,0.5117095708847046
42,4,2,nearest,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6981132626533508
42,4,2,nearest,4,0.6412500143051147,0.6075000166893005,0.6050000190734863,0.6515445113182068
42,4,2,floor,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.698364794254303
42,4,2,floor,4,0.6056249737739563,0.5824999809265137,0.6200000047683716,0.665831446647644
42,4,2,ceil,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6979053616523743
42,4,2,ceil,4,0.6424999833106995,0.6075000166893005,0.6050000190734863,0.6744859218597412
42,4,4,nearest,8,0.546875,0.5199999809265137,0.5375000238418579,0.6924179792404175
42,4,4,nearest,4,0.7512500286102295,0.699999988079071,0.699999988079071,0.603909969329834
42,4,4,floor,8,0.5537499785423279,0.5400000214576721,0.5575000047683716,0.6883096098899841
42,4,4,floor,4,0.6487500071525574,0.5899999737739563,0.5824999809265137,0.6457100510597229
42,4,4,ceil,8,0.5618749856948853,0.5550000071525574,0.5550000071525574,0.685625433921814
42,4,4,ceil,4,0.6075000166893005,0.5950000286102295,0.6100000143051147,0.6573064923286438
42,4,6,nearest,8,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6932340860366821
42,4,6,nearest,4,0.706250011920929,0.6399999856948853,0.6274999976158142,0.67962646484375
42,4,6,floor,8,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6932942271232605
42,4,6,floor,4,0.671875,0.6274999976158142,0.6600000262260437,0.6544489860534668
42,4,6,ceil,8,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6933450102806091
42,4,6,ceil,4,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6934892535209656
42,4,8,nearest,8,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6933426856994629
42,4,8,nearest,4,0.6000000238418579,0.574999988079071,0.5724999904632568,0.685316264629364
42,4,8,floor,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6930438876152039
42,4,8,floor,4,0.5762500166893005,0.5525000095367432,0.5550000071525574,0.6899281144142151
